date,portcalls,import,export
2025-04-26,2,74174,2704
2025-04-27,3,28568,41022
2025-04-28,1,41135,8240
2025-04-29,1,25335,0
2025-04-30,1,53553,0
2025-05-01,1,62556,0
2025-05-02,2,72165,38096
2025-05-03,1,0,0
2025-05-04,1,6800,0
2025-05-05,2,130584,0
2025-05-06,1,75724,0
2025-05-07,1,0,0
2025-05-08,1,74310,0
2025-05-09,1,67271,0
2025-05-10,1,0,55207
2025-05-11,1,59294,0
2025-05-12,0,0,0
2025-05-13,1,0,0
2025-05-14,0,0,0
2025-05-15,1,44273,0
2025-05-16,1,74198,0
2025-05-17,1,63499,0
2025-05-18,1,72095,0
2025-05-19,2,532,41462
2025-05-20,2,41820,8240
2025-05-21,0,0,0
2025-05-22,0,0,0
2025-05-23,3,73439,0
2025-05-24,2,13642,51691
2025-05-25,2,41331,7208
2025-05-26,3,27321,250
2025-05-27,2,0,439
2025-05-28,2,27721,34044
2025-05-29,1,0,0
2025-05-30,2,0,561
2025-05-31,4,160133,0
2025-06-01,1,40585,0
2025-06-02,3,44846,7770
2025-06-03,3,26229,250
2025-06-04,2,73171,0
2025-06-05,1,60859,0
2025-06-06,1,0,0
2025-06-07,2,82586,8549
2025-06-08,1,71812,0
2025-06-09,1,0,0
2025-06-10,3,210190,0
2025-06-11,2,0,0
2025-06-12,0,0,0
2025-06-13,1,26327,0
2025-06-14,1,0,0
2025-06-15,1,84979,0
2025-06-16,2,4771,33884
2025-06-17,2,76088,0
2025-06-18,1,51266,0
2025-06-19,1,68089,0
2025-06-20,1,0,28385
2025-06-21,1,0,55636
2025-06-22,0,0,0
2025-06-23,0,0,0
2025-06-24,3,161763,0
2025-06-25,2,2487,13016
2025-06-26,2,0,0
2025-06-27,1,41900,0
2025-06-28,1,45434,0
2025-06-29,2,0,11262
2025-06-30,0,0,0
2025-07-01,1,2487,250
2025-07-02,1,0,2124
2025-07-03,2,110889,0
2025-07-04,0,0,0
2025-07-05,2,30699,0
2025-07-06,2,72188,0
2025-07-07,1,0,0
2025-07-08,1,88354,0
2025-07-09,2,54576,0
2025-07-10,0,0,0
2025-07-11,1,30630,0
2025-07-12,1,41135,8240
2025-07-13,1,72083,0
2025-07-14,0,0,0
2025-07-15,1,0,945
2025-07-16,1,25348,0
2025-07-17,0,0,0
2025-07-18,0,0,0
2025-07-19,3,94596,0
2025-07-20,0,0,0
2025-07-21,3,73177,40399
2025-07-22,1,22489,0
2025-07-23,2,39730,2529
2025-07-24,0,0,0
2025-07-25,2,97491,0
2025-07-26,1,6769,0
2025-07-27,1,73638,0
2025-07-28,0,0,0
2025-07-29,2,119986,0
2025-07-30,0,0,0
2025-07-31,1,41135,8240
2025-08-01,1,28464,0
2025-08-02,2,1410,20013
2025-08-03,1,81868,0
2025-08-04,1,9896,0
2025-08-05,1,32501,0
2025-08-06,1,138922,0
2025-08-07,0,0,0
2025-08-08,1,0,0
2025-08-09,0,0,0
2025-08-10,3,213885,0
2025-08-11,0,0,0
2025-08-12,1,28833,0
2025-08-13,0,0,0
2025-08-14,1,120918,0
2025-08-15,1,82340,0
2025-08-16,0,0,0
2025-08-17,0,0,0
2025-08-18,1,0,22068
2025-08-19,0,0,0
2025-08-20,0,0,0
2025-08-21,0,0,0
2025-08-22,1,9757,544
